species_name,phylo_clade,phylo_sub_clade,date,papillate,proliferation,caduceus,chlamydospores,hyphal_swelling,oospores,ho_he_s,oospore_wall_index,gr_at_opt,temp_min,temp_opt
Phytophthora macilentosa,9,9a,2014,NP,P,NC,NCH,HS,O,HE,0.25,5,7,30
Phytophthora macrochlamydospora,9,9c,1991,SP,P,NC,CH,HS,NO,S,NA,#N/A,6,27
Phytophthora parsiana,9,9a,2008,NP,P,NC,CH,HS,O,HE,0.6,8,10,30
Phytophthora polonica,9,9b,2006,NP,P,NC,CH,HS,O,HO,0.36,7,5,30
Phytophthora pseudopolonica,9,9b,2017,NP,P,NC,CH,HS,O,HO,0.3,10,5,30
Phytophthora quininea,9,9c,1947,NP,NP,NC,NCH,HS,O,HO,#N/A,#N/A,15,25
Phytophthora rhizophorae,9,9a,2016,NP,P,NC,NCH,HS,NO,S,NA,14,5,30
Phytophthora richardiae,9,9c,1927,NP,P,NC,NCH,HS,O,HO,0.7,#N/A,10,24
Phytophthora virginiana,9,9a,2013,NP,P,NC,CH,HS,NO,S,NA,7.5,10,30
Phytophthora boehmeriae,10,10,1927,P,NP,C,CH,NHS,O,HO,0.35,#N/A,6,25
Phytophthora gallica,10,10,2008,NP,NP,NC,CH,HS,NO,S,NA,2.1,4,21
Phytophthora gondwanensis,10,10,2015,P,NP,NC,NCH,HS,O,HO,0.47,5.5,5,27.5
Phytophthora intercalaris,10,10,2016,NP,P,NC,CH,HS,O,HE,0.3,3,6,27
Phytophthora kernoviae,10,10,2005,P,NP,C,NCH,NHS,O,HO,0.68,4,4,18
Phytophthora morindae,10,10,2010,P,NP,C,NCH,NHS,O,HO,0.51,2.9,10,20
Phytophthora 'ohioensis',11,11,2017,P,NP,NC,NCH,NHS,O,HO,0.44,2.6,5,21
Phytophthora castanetorum,11,,2017,P,NP,NC,CH,HS,O,HO,0.51,3.6,5,20
Phytophthora quercina,11,11,1999,P,NP,NC,CH,HS,O,HO,0.49,4.3,5,22
Phytophthora tubulina,11,,2017,P,NP,NC,NCH,HS,O,HO,0.38,2.8,5,20
Phytophthora versiformis,11,11,2017,P,NP,NC,NCH,HS,O,HO,0.46,2.2,4,20
Phytophthora lilii,X,X,2015,NP,P,NC,CH,HS,O,HO,0.5,2.6,5,25
Phytophthora stricta,X,X,2014,NP,P,C,CH,NHS,O,HE,0.32,8,7,27.5
